timestamp,config,trial_id,target,read_success,write_success,write_blocked,read_latency_ms,write_latency_ms,ttc_s,read_output,write_output
2026-05-08 12:48:25,mediated,3,10.0.0.11,1,0,1,85.3887,3086.6927,,READ SUCCESS: [0],WRITE FAILED / BLOCKED
2026-05-08 12:48:25,mediated,3,10.0.0.12,0,0,1,66.7059,61.683,,"Connection to (10.0.0.12, 502) failed: [Errno 111] Connection refused | Connection to (10.0.0.12, 502) failed: [Errno 111] Connection refused | Traceback (most recent call last): |   File ""/home/cornelius/AF-CDI-MediateLab/clients/modbus_read.py"", line 11, in <module> |     result = client.read_holding_registers(address=10, count=1, slave=1) |   File ""/home/cornelius/AF-CDI-MediateLab/venv/lib/python3.10/site-packages/pymodbus/client/mixin.py"", line 107, in read_holding_registers |     return self.execute( |   File ""/home/cornelius/AF-CDI-MediateLab/venv/lib/python3.10/site-packages/pymodbus/client/base.py"", line 395, in execute |     raise ConnectionException(f""Failed to connect[{self!s}]"") | pymodbus.exceptions.ConnectionException: Modbus Error: [Connection] Failed to connect[ModbusTcpClient 10.0.0.12:502]","Connection to (10.0.0.12, 502) failed: [Errno 111] Connection refused | WRITE FAILED / BLOCKED: connection could not be established"
2026-05-08 12:48:25,mediated,3,10.0.0.13,0,0,1,63.7313,57.7168,,"Connection to (10.0.0.13, 502) failed: [Errno 111] Connection refused | Connection to (10.0.0.13, 502) failed: [Errno 111] Connection refused | Traceback (most recent call last): |   File ""/home/cornelius/AF-CDI-MediateLab/clients/modbus_read.py"", line 11, in <module> |     result = client.read_holding_registers(address=10, count=1, slave=1) |   File ""/home/cornelius/AF-CDI-MediateLab/venv/lib/python3.10/site-packages/pymodbus/client/mixin.py"", line 107, in read_holding_registers |     return self.execute( |   File ""/home/cornelius/AF-CDI-MediateLab/venv/lib/python3.10/site-packages/pymodbus/client/base.py"", line 395, in execute |     raise ConnectionException(f""Failed to connect[{self!s}]"") | pymodbus.exceptions.ConnectionException: Modbus Error: [Connection] Failed to connect[ModbusTcpClient 10.0.0.13:502]","Connection to (10.0.0.13, 502) failed: [Errno 111] Connection refused | WRITE FAILED / BLOCKED: connection could not be established"
2026-05-08 12:48:26,mediated,3,10.0.0.14,0,0,1,66.487,54.6457,,"Connection to (10.0.0.14, 502) failed: [Errno 111] Connection refused | Connection to (10.0.0.14, 502) failed: [Errno 111] Connection refused | Traceback (most recent call last): |   File ""/home/cornelius/AF-CDI-MediateLab/clients/modbus_read.py"", line 11, in <module> |     result = client.read_holding_registers(address=10, count=1, slave=1) |   File ""/home/cornelius/AF-CDI-MediateLab/venv/lib/python3.10/site-packages/pymodbus/client/mixin.py"", line 107, in read_holding_registers |     return self.execute( |   File ""/home/cornelius/AF-CDI-MediateLab/venv/lib/python3.10/site-packages/pymodbus/client/base.py"", line 395, in execute |     raise ConnectionException(f""Failed to connect[{self!s}]"") | pymodbus.exceptions.ConnectionException: Modbus Error: [Connection] Failed to connect[ModbusTcpClient 10.0.0.14:502]","Connection to (10.0.0.14, 502) failed: [Errno 111] Connection refused | WRITE FAILED / BLOCKED: connection could not be established"
2026-05-08 12:48:26,mediated,3,10.0.0.15,0,0,1,67.0157,56.7265,,"Connection to (10.0.0.15, 502) failed: [Errno 111] Connection refused | Connection to (10.0.0.15, 502) failed: [Errno 111] Connection refused | Traceback (most recent call last): |   File ""/home/cornelius/AF-CDI-MediateLab/clients/modbus_read.py"", line 11, in <module> |     result = client.read_holding_registers(address=10, count=1, slave=1) |   File ""/home/cornelius/AF-CDI-MediateLab/venv/lib/python3.10/site-packages/pymodbus/client/mixin.py"", line 107, in read_holding_registers |     return self.execute( |   File ""/home/cornelius/AF-CDI-MediateLab/venv/lib/python3.10/site-packages/pymodbus/client/base.py"", line 395, in execute |     raise ConnectionException(f""Failed to connect[{self!s}]"") | pymodbus.exceptions.ConnectionException: Modbus Error: [Connection] Failed to connect[ModbusTcpClient 10.0.0.15:502]","Connection to (10.0.0.15, 502) failed: [Errno 111] Connection refused | WRITE FAILED / BLOCKED: connection could not be established"
2026-05-08 12:48:29,mediated,4,10.0.0.11,1,0,1,64.7049,3063.6272,,READ SUCCESS: [0],WRITE FAILED / BLOCKED
2026-05-08 12:48:30,mediated,4,10.0.0.12,0,0,1,63.6422,54.9907,,"Connection to (10.0.0.12, 502) failed: [Errno 111] Connection refused | Connection to (10.0.0.12, 502) failed: [Errno 111] Connection refused | Traceback (most recent call last): |   File ""/home/cornelius/AF-CDI-MediateLab/clients/modbus_read.py"", line 11, in <module> |     result = client.read_holding_registers(address=10, count=1, slave=1) |   File ""/home/cornelius/AF-CDI-MediateLab/venv/lib/python3.10/site-packages/pymodbus/client/mixin.py"", line 107, in read_holding_registers |     return self.execute( |   File ""/home/cornelius/AF-CDI-MediateLab/venv/lib/python3.10/site-packages/pymodbus/client/base.py"", line 395, in execute |     raise ConnectionException(f""Failed to connect[{self!s}]"") | pymodbus.exceptions.ConnectionException: Modbus Error: [Connection] Failed to connect[ModbusTcpClient 10.0.0.12:502]","Connection to (10.0.0.12, 502) failed: [Errno 111] Connection refused | WRITE FAILED / BLOCKED: connection could not be established"
2026-05-08 12:48:30,mediated,4,10.0.0.13,0,0,1,62.7285,59.4317,,"Connection to (10.0.0.13, 502) failed: [Errno 111] Connection refused | Connection to (10.0.0.13, 502) failed: [Errno 111] Connection refused | Traceback (most recent call last): |   File ""/home/cornelius/AF-CDI-MediateLab/clients/modbus_read.py"", line 11, in <module> |     result = client.read_holding_registers(address=10, count=1, slave=1) |   File ""/home/cornelius/AF-CDI-MediateLab/venv/lib/python3.10/site-packages/pymodbus/client/mixin.py"", line 107, in read_holding_registers |     return self.execute( |   File ""/home/cornelius/AF-CDI-MediateLab/venv/lib/python3.10/site-packages/pymodbus/client/base.py"", line 395, in execute |     raise ConnectionException(f""Failed to connect[{self!s}]"") | pymodbus.exceptions.ConnectionException: Modbus Error: [Connection] Failed to connect[ModbusTcpClient 10.0.0.13:502]","Connection to (10.0.0.13, 502) failed: [Errno 111] Connection refused | WRITE FAILED / BLOCKED: connection could not be established"
2026-05-08 12:48:30,mediated,4,10.0.0.14,0,0,1,61.7192,56.9555,,"Connection to (10.0.0.14, 502) failed: [Errno 111] Connection refused | Connection to (10.0.0.14, 502) failed: [Errno 111] Connection refused | Traceback (most recent call last): |   File ""/home/cornelius/AF-CDI-MediateLab/clients/modbus_read.py"", line 11, in <module> |     result = client.read_holding_registers(address=10, count=1, slave=1) |   File ""/home/cornelius/AF-CDI-MediateLab/venv/lib/python3.10/site-packages/pymodbus/client/mixin.py"", line 107, in read_holding_registers |     return self.execute( |   File ""/home/cornelius/AF-CDI-MediateLab/venv/lib/python3.10/site-packages/pymodbus/client/base.py"", line 395, in execute |     raise ConnectionException(f""Failed to connect[{self!s}]"") | pymodbus.exceptions.ConnectionException: Modbus Error: [Connection] Failed to connect[ModbusTcpClient 10.0.0.14:502]","Connection to (10.0.0.14, 502) failed: [Errno 111] Connection refused | WRITE FAILED / BLOCKED: connection could not be established"
2026-05-08 12:48:31,mediated,4,10.0.0.15,0,0,1,74.404,59.57,,"Connection to (10.0.0.15, 502) failed: [Errno 111] Connection refused | Connection to (10.0.0.15, 502) failed: [Errno 111] Connection refused | Traceback (most recent call last): |   File ""/home/cornelius/AF-CDI-MediateLab/clients/modbus_read.py"", line 11, in <module> |     result = client.read_holding_registers(address=10, count=1, slave=1) |   File ""/home/cornelius/AF-CDI-MediateLab/venv/lib/python3.10/site-packages/pymodbus/client/mixin.py"", line 107, in read_holding_registers |     return self.execute( |   File ""/home/cornelius/AF-CDI-MediateLab/venv/lib/python3.10/site-packages/pymodbus/client/base.py"", line 395, in execute |     raise ConnectionException(f""Failed to connect[{self!s}]"") | pymodbus.exceptions.ConnectionException: Modbus Error: [Connection] Failed to connect[ModbusTcpClient 10.0.0.15:502]","Connection to (10.0.0.15, 502) failed: [Errno 111] Connection refused | WRITE FAILED / BLOCKED: connection could not be established"
2026-05-08 12:48:34,mediated,5,10.0.0.11,1,0,1,65.9415,3071.2334,,READ SUCCESS: [0],WRITE FAILED / BLOCKED
2026-05-08 12:48:34,mediated,5,10.0.0.12,0,0,1,61.7585,62.9,,"Connection to (10.0.0.12, 502) failed: [Errno 111] Connection refused | Connection to (10.0.0.12, 502) failed: [Errno 111] Connection refused | Traceback (most recent call last): |   File ""/home/cornelius/AF-CDI-MediateLab/clients/modbus_read.py"", line 11, in <module> |     result = client.read_holding_registers(address=10, count=1, slave=1) |   File ""/home/cornelius/AF-CDI-MediateLab/venv/lib/python3.10/site-packages/pymodbus/client/mixin.py"", line 107, in read_holding_registers |     return self.execute( |   File ""/home/cornelius/AF-CDI-MediateLab/venv/lib/python3.10/site-packages/pymodbus/client/base.py"", line 395, in execute |     raise ConnectionException(f""Failed to connect[{self!s}]"") | pymodbus.exceptions.ConnectionException: Modbus Error: [Connection] Failed to connect[ModbusTcpClient 10.0.0.12:502]","Connection to (10.0.0.12, 502) failed: [Errno 111] Connection refused | WRITE FAILED / BLOCKED: connection could not be established"
2026-05-08 12:48:35,mediated,5,10.0.0.13,0,0,1,67.507,64.5401,,"Connection to (10.0.0.13, 502) failed: [Errno 111] Connection refused | Connection to (10.0.0.13, 502) failed: [Errno 111] Connection refused | Traceback (most recent call last): |   File ""/home/cornelius/AF-CDI-MediateLab/clients/modbus_read.py"", line 11, in <module> |     result = client.read_holding_registers(address=10, count=1, slave=1) |   File ""/home/cornelius/AF-CDI-MediateLab/venv/lib/python3.10/site-packages/pymodbus/client/mixin.py"", line 107, in read_holding_registers |     return self.execute( |   File ""/home/cornelius/AF-CDI-MediateLab/venv/lib/python3.10/site-packages/pymodbus/client/base.py"", line 395, in execute |     raise ConnectionException(f""Failed to connect[{self!s}]"") | pymodbus.exceptions.ConnectionException: Modbus Error: [Connection] Failed to connect[ModbusTcpClient 10.0.0.13:502]","Connection to (10.0.0.13, 502) failed: [Errno 111] Connection refused | WRITE FAILED / BLOCKED: connection could not be established"
2026-05-08 12:48:35,mediated,5,10.0.0.14,0,0,1,63.8905,55.8288,,"Connection to (10.0.0.14, 502) failed: [Errno 111] Connection refused | Connection to (10.0.0.14, 502) failed: [Errno 111] Connection refused | Traceback (most recent call last): |   File ""/home/cornelius/AF-CDI-MediateLab/clients/modbus_read.py"", line 11, in <module> |     result = client.read_holding_registers(address=10, count=1, slave=1) |   File ""/home/cornelius/AF-CDI-MediateLab/venv/lib/python3.10/site-packages/pymodbus/client/mixin.py"", line 107, in read_holding_registers |     return self.execute( |   File ""/home/cornelius/AF-CDI-MediateLab/venv/lib/python3.10/site-packages/pymodbus/client/base.py"", line 395, in execute |     raise ConnectionException(f""Failed to connect[{self!s}]"") | pymodbus.exceptions.ConnectionException: Modbus Error: [Connection] Failed to connect[ModbusTcpClient 10.0.0.14:502]","Connection to (10.0.0.14, 502) failed: [Errno 111] Connection refused | WRITE FAILED / BLOCKED: connection could not be established"
2026-05-08 12:48:35,mediated,5,10.0.0.15,0,0,1,59.0208,56.542,,"Connection to (10.0.0.15, 502) failed: [Errno 111] Connection refused | Connection to (10.0.0.15, 502) failed: [Errno 111] Connection refused | Traceback (most recent call last): |   File ""/home/cornelius/AF-CDI-MediateLab/clients/modbus_read.py"", line 11, in <module> |     result = client.read_holding_registers(address=10, count=1, slave=1) |   File ""/home/cornelius/AF-CDI-MediateLab/venv/lib/python3.10/site-packages/pymodbus/client/mixin.py"", line 107, in read_holding_registers |     return self.execute( |   File ""/home/cornelius/AF-CDI-MediateLab/venv/lib/python3.10/site-packages/pymodbus/client/base.py"", line 395, in execute |     raise ConnectionException(f""Failed to connect[{self!s}]"") | pymodbus.exceptions.ConnectionException: Modbus Error: [Connection] Failed to connect[ModbusTcpClient 10.0.0.15:502]","Connection to (10.0.0.15, 502) failed: [Errno 111] Connection refused | WRITE FAILED / BLOCKED: connection could not be established"
2026-05-08 12:48:39,mediated,6,10.0.0.11,1,0,1,61.8417,3064.3788,,READ SUCCESS: [0],WRITE FAILED / BLOCKED
